City,Fuel Type,Body Type,km,price,ownerNo,Manufacturer,model,modelYear,Insurance Validity,Engine Displacement,Transmission,Mileage,Seats,Color,No of Cylinder,Drive Type,Seating Capacity,Steering Type,No Door Numbers
Bangalore,Petrol,Hatchback,120000,400000,3,Maruti,Maruti Celerio,1970-01-01 00:00:00.000002015,Third Party insurance,998.0,Manual,23.1,5,White,3,FWD,5,Power,5
Bangalore,Petrol,SUV,32706,811000,2,Ford,Ford Ecosport,1970-01-01 00:00:00.000002018,Comprehensive,1497.0,Manual,17.0,5,White,3,FWD,5,Power,4
Bangalore,Petrol,Hatchback,11949,585000,1,Tata,Tata Tiago,1970-01-01 00:00:00.000002018,Comprehensive,1199.0,Manual,23.84,5,Red,3,FWD,5,Power,5
Bangalore,Petrol,Sedan,17794,462000,1,Hyundai,Hyundai Xcent,1970-01-01 00:00:00.000002014,Comprehensive,1197.0,Manual,19.1,5,Dark Black,4,FWD ,5,Power,4
Bangalore,Diesel,SUV,60000,790000,1,Maruti,Maruti SX4 S Cross,1970-01-01 00:00:00.000002015,Third Party insurance,1248.0,Manual,23.65,5,Gray,4,FWD,5,Power,5
Bangalore,Diesel,SUV,20000,1900000,1,Jeep,Jeep Compass,1970-01-01 00:00:00.000002020,Third Party insurance,1956.0,Manual,17.1,5,Dark Black,4,4X2,5,power,5
Bangalore,Petrol,Hatchback,37772,345000,1,Datsun,Datsun GO,1970-01-01 00:00:00.000002017,Comprehensive,1198.0,Manual,20.63,5,Grey,3,FWD,5,Power,5
Bangalore,Petrol,SUV,30000,1200000,1,Hyundai,Hyundai Venue,1970-01-01 00:00:00.000002021,Third Party insurance,998.0,Automatic,18.15,5,Dark Black,3,FWD,5,Power,5
Bangalore,Petrol,Sedan,37000,960000,1,Maruti,Maruti Ciaz,1970-01-01 00:00:00.000002018,Comprehensive,1462.0,Automatic,20.28,5,Maroon,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,11949,585000,1,Tata,Tata Tiago,1970-01-01 00:00:00.000002017,Comprehensive,1199.0,Manual,23.84,5,Red,3,FWD,5,Power,5
Bangalore,Petrol,Hatchback,50000,690000,1,Maruti,Maruti Baleno,1970-01-01 00:00:00.000002018,Third Party insurance,1197.0,Manual,21.4,5,Red,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,24887,682000,1,Hyundai,Hyundai Grand i10,1970-01-01 00:00:00.000002019,Third Party insurance,1197.0,Automatic,18.9,5,Orange,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,23000,825000,1,Honda,Honda Jazz,1970-01-01 00:00:00.000002018,Comprehensive,1199.0,Automatic,18.2,5,Grey,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,48928,595000,1,Tata,Tata Tiago,1970-01-01 00:00:00.000002018,Comprehensive,1199.0,Automatic,23.84,5,Red,3,FWD,5,Power,5
Bangalore,Diesel,SUV,108862,690000,3,Mahindra,Mahindra XUV500,1970-01-01 00:00:00.000002014,Comprehensive,2179.0,Manual,15.1,7,Silver,4,FWD,7,Power,5
Bangalore,Diesel,SUV,80000,1350000,1,Jeep,Jeep Compass,1970-01-01 00:00:00.000002018,Third Party insurance,1956.0,Manual,17.1,5,Dark Black,4,4X2,5,Power,5
Bangalore,Diesel,SUV,16000,5595000,1,Mercedes-Benz,Mercedes-Benz GLA,1970-01-01 00:00:00.000002022,Comprehensive,1950.0,Automatic,18.9,5,Blue,4,AWD,5,Power,5
Bangalore,Diesel,Hatchback,65376,521000,2,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002014,Comprehensive,1396.0,Manual,21.27,5,Blue,4,FWD,5,Power,5
Bangalore,Petrol,SUV,10000,1005000,1,Tata,Tata Nexon,1970-01-01 00:00:00.000002022,Third Party insurance,1199.0,Manual,17.33,5,Dark Black,3,FWD,5,Electric,5
Bangalore,Petrol,Sedan,67000,775000,2,Honda,Honda City,1970-01-01 00:00:00.000002016,Comprehensive,1497.0,Manual,17.8,5,Brown,4,FWD,5,Power,4
Bangalore,Diesel,Sedan,100000,2200000,3,BMW,BMW 5 Series,1970-01-01 00:00:00.000002011,Third Party insurance,1995.0,Automatic,18.48,5,White,4,FWD,5,Power,4
Bangalore,Petrol,Hatchback,18083,582000,1,Maruti,Maruti Swift,1970-01-01 00:00:00.000002016,Comprehensive,1197.0,Manual,22.38,5,Silver,4,FWD,5,Electric,5
Bangalore,Petrol,SUV,30000,1090000,1,Renault,Renault Duster,1970-01-01 00:00:00.000002020,Third Party insurance,1498.0,Manual,16.42,5,Dark Black,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,57634,457000,2,Tata,Tata Tiago,1970-01-01 00:00:00.000002016,Comprehensive,1199.0,Manual,23.84,5,Silver,3,FWD,5,Power,5
